"company","link"
"AT&T","https://www.att.jobs/students"
"Allstate","https://www.allstate.jobs/job-search-results/?level[]=Intern"
"Amazon","https://www.amazon.jobs/en/teams/internships-for-students?offset=0&result_limit=10&sort=relevant&country%5B%5D=USA&distanceType=Mi&radius=24km&latitude=&longitude=&loc_group_id=&loc_query=&base_query=&city=&country=&region=&county=&query_options=&"
"Apple","https://jobs.apple.com/en-us/search?team=Internships-STDNT-INTRN"
"Boeing","https://jobs.boeing.com/category/internship-jobs/185/9287/1"
"Cigna","https://jobs.cigna.com/us/en/search-results?keywords=Intern"
"Comcast","https://jobs.comcast.com/university-relations/internships-coops#"
"Dell","https://jobs.dell.com/search-jobs"
"Ecolab","https://jobs.ecolab.com/job-search-results/?keyword=intern"
"ExxonMobil","https://jobs.exxonmobil.com/search/?q=&locationsearch=&optionsFacetsDD_department=&optionsFacetsDD_shifttype=Intern%2Fco-op%2Fapprentice"
"GeneralElectric","https://jobs.gecareers.com/global/en/search-results"
"GeneralMotors","https://search-careers.gm.com/jobs/?search=&department=Students+%26+Recent+Graduates"
"Google","https://careers.google.com/jobs/results/"
"HewlettPackardEnterprise","https://careers.hpe.com/us/en/search-results"
"HomeDepot","https://careers.homedepot.com/job-search-results/?category[]=Internship"
"Humana","https://careers.humana.com/job-search-results/?category[]=Internship&source=Humana_Website"
"IBM","https://www.ibm.com/employment/#jobs?%23jobs=&experience=Intern"
"Intel","https://jobs.intel.com/search-jobs?acm=8451568&alrpm=ALL&ascf=[%7B%22key%22:%22ALL%22,%22value%22:%22%22%7D]"
"JPMorgan","https://careers.jpmorgan.com/global/en/students/programs?deeplink=multiTabNav1::tab3"
"Kellogg","https://jobs.kellogg.com/search/"
"Marathon","https://mpc.wd1.myworkdayjobs.com/MPCCareers?workerSubType=762d3bc5687201008504b33faf520000"
"McKesson","https://mckesson.wd3.myworkdayjobs.com/Acquisition_campus/"
"Microsoft","https://careers.microsoft.com/students/us/en/search-results"
"Oracle","https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?lastSelectedFacet=AttributeChar4&selectedFlexFieldsFacets=%22AttributeChar4%7CStudent%2FIntern%22"
"Target","https://jobs.target.com/search-jobs"
"Tesla","https://www.tesla.com/careers/search/?query=Internship&type=3&site=US"
"TexasInstruments","https://careers.ti.com/search-jobs/?brand=Interns"
"Textron","https://www.textron.com/job-details"
"Verizon","https://www.verizon.com/about/work/search/campus-and-apprenticeships/jobs?sort_by=cfml10%2Cdesc"
"Visa","https://careers.smartrecruiters.com/Visa/university-recruiting"
"Walmart","https://careers.walmart.com/results?q=2022&page=1&sort=rank&expand=department,brand,type,rate&jobCareerArea=all"
